sex,test,test_name,short_name,long_name,system,unit,unit_source,unit_confidence,nhanes_name,age_bin,age_lo,age_hi,age_mid,scale_type,axis_column,is_log_scale,stats_n_total,n_age_years_present,age_years_present,density_points_used,weighting_method,has_density_data,raw_min,raw_max,q0,q1,q2,q3,q4,raw_q0,raw_q1,raw_q2,raw_q3,raw_q4
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,85-89,85,89,87.0,log,log_x,True,187.0,1,85,30,stats_n,True,4.0,188.399993896484,1.3862943611198906,3.302241453300835,3.547615961955954,3.697061792202583,5.23856732974568,4.0,27.173478794056273,34.73042006883541,40.32863619624674,188.399993896484
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,85-89,85,89,87.0,regular,x,False,187.0,1,85,30,stats_n,True,4.0,188.399993896484,4.0,27.586890560643653,35.12829433280902,40.14781429685807,188.399993896484,4.0,27.586890560643653,35.12829433280902,40.14781429685807,188.399993896484
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,90-94,90,94,92.0,log,log_x,True,39.0,0,,0,none,False,5.0,87.0,,,,,,,,,,
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,90-94,90,94,92.0,regular,x,False,39.0,0,,0,none,False,5.0,87.0,,,,,,,,,,
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,95-99,95,99,97.0,log,log_x,True,9.0,0,,0,none,False,4.0,81.0,,,,,,,,,,
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,95-99,95,99,97.0,regular,x,False,9.0,0,,0,none,False,4.0,81.0,,,,,,,,,,
female,lab.104400.no_meds,ACTH_ADRENOCORTICOTROPIC_HORMONE,ACTH,ACTH,AdrenalPituitary,pg/mL,manual_clinical_override,medium,,20-24,20,24,22.0,log,log_x,True,1298.0,5,20|21|22|23|24,150,stats_n,True,0.409999996423721,256.092590332031,-0.8915981280064154,1.2288065363524903,1.562289954632506,1.9552025750260726,5.545539060073258,0.409999996423721,3.4171488587628294,4.769731216795935,7.065350142231154,256.092590332031
female,lab.104400.no_meds,ACTH_ADRENOCORTICOTROPIC_HORMONE,ACTH,ACTH,AdrenalPituitary,pg/mL,manual_clinical_override,medium,,20-24,20,24,22.0,regular,x,False,1298.0,5,20|21|22|23|24,150,stats_n,True,0.409999996423721,256.092590332031,-1.04953531460675,3.4221484796253736,4.855034596529872,7.081714732927565,256.092590332031,-1.04953531460675,3.4221484796253736,4.855034596529872,7.081714732927565,256.092590332031
female,lab.104400.no_meds,ACTH_ADRENOCORTICOTROPIC_HORMONE,ACTH,ACTH,AdrenalPituitary,pg/mL,manual_clinical_override,medium,,25-29,25,29,27.0,log,log_x,True,1462.0,5,25|26|27|28|29,150,stats_n,True,1.10000002384186,272.0,0.09531020147874272,1.1470228536606304,1.495800399104501,1.878988977427818,5.605802066295998,1.10000002384186,3.1488044895144833,4.462907230624415,6.546882469107112,272.0
female,lab.104400.no_meds,ACTH_ADRENOCORTICOTROPIC_HORMONE,ACTH,ACTH,AdrenalPituitary,pg/mL,manual_clinical_override,medium,,25-29,25,29,27.0,regular,x,False,1462.0,5,25|26|27|28|29,150,stats_n,True,1.10000002384186,272.0,-0.582400523383701,3.169821858202577,4.533402820961224,6.5644409355237965,272.0,-0.582400523383701,3.169821858202577,4.533402820961224,6.5644409355237965,272.0
