Test Name (Clalit),Test Name (NHANES),Clalit ID,NHANES ID,In Clalit,In NHANES,Mapping Status
,"Folate, serum (nmol/L)",,folate serum__nmol/l,,V,NHANES Only
,"Iron frozen, Serum (ug/dL)",,iron frozen serum__ug/dl,,V,NHANES Only
,"Iron frozen, Serum (umol/L)",,iron frozen serum__umol/l,,V,NHANES Only
,"Iron, refigerated (ug/dL)",,iron refigerated__ug/dl,,V,NHANES Only
,"Iron, refigerated (umol/L)",,iron refigerated__umol/l,,V,NHANES Only
,Methenyl-tetrahydrofolate (nmol/L),,5 10-methenyl-tetrahydrofolate,,V,NHANES Only
,Methyltetrahydrofolate ng/ml,,methyltetrahydrofolate ng/ml,,V,NHANES Only
,Methyltetrahydrofolate pmol/ml,,methyltetrahydrofolate pmol/ml,,V,NHANES Only
,Pyridoxal 5'-phosphate (nmol/L),,pyridoxal 5 -phosphate,,V,NHANES Only
,RBC folate (ng/mL),,rbc folate__ng/ml,,V,NHANES Only
,RBC folate (nmol/L),,rbc folate__nmol/l,,V,NHANES Only
,Retinol (ug/dL),,retinol__ug/dl,,V,NHANES Only
,Retinol (umol/L),,retinol__umol/l,,V,NHANES Only
,Selenium (ng/mL),,selenium__ng/ml,,V,NHANES Only
,Selenium (umol/L),,selenium__umol/l,,V,NHANES Only
,Serum Copper (ug/dL),,serum copper__ug/dl,,V,NHANES Only
,Serum Copper (umol/L),,serum copper__umol/l,,V,NHANES Only
,Serum Selenium (ug/L),,serum selenium__ug/l,,V,NHANES Only
,Serum Selenium (umol/L),,serum selenium__umol/l,,V,NHANES Only
,Serum Zinc (ug/dL),,serum zinc__ug/dl,,V,NHANES Only
,Serum Zinc (umol/L),,serum zinc__umol/l,,V,NHANES Only
,Serum ferritin (ng/ml),,serum ferritin,,V,NHANES Only
,Serum folate (ng/mL),,serum folate__ng/ml,,V,NHANES Only
,Serum folate (nmol/L),,serum folate__nmol/l,,V,NHANES Only
,Serum total folate (ng/mL),,serum total folate__ng/ml,,V,NHANES Only
,Serum total folate (nmol/L),,serum total folate__nmol/l,,V,NHANES Only
,Tetrahydrofolate (nmol/L),,tetrahydrofolate,,V,NHANES Only
,Total Folate ng/ml,,total folate ng/ml,,V,NHANES Only
,Total Folate pmol/ml,,total folate pmol/ml,,V,NHANES Only
,Total Iron Binding Capacity (TIBC) (umol/L),,total iron binding capacity tibc__umol/l,,V,NHANES Only
